Elo Rank,Player,Age,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Peak Elo,Peak Month,WTA Rank,Log diff
19,Alexandra Eala,21.1,1912.5,21,1841.4,81,1685.8,13,1814.5,1926.2,2026-06,28,-0.39
20,Amanda Anisimova,24.8,1910.5,17,1878.0,39,1749.8,22,1768.6,2086.9,2025-11,9,0.80
21,Anna Kalinskaya,27.5,1910.5,18,1864.3,23,1806.1,29,1735.7,1948.6,2024-04,20,0.05
22,Marketa Vondrousova,26.5,1907.1,25,1825.8,30,1773.1,18,1791.1,2062.5,2023-08,132,-1.79
23,Barbora Krejcikova,30.5,1895.2,23,1830.3,51,1728.8,17,1791.8,2054.4,2021-08,32,-0.33
24,Anastasia Potapova,25.2,1887.7,34,1795.7,12,1873.2,53,1666.0,1944.4,2026-05,27,-0.12
25,Diana Shnaider,22.2,1883.4,24,1828.9,18,1837.0,43,1695.7,1976.1,2024-08,18,0.33
26,Marie Bouzkova,27.9,1881.3,29,1803.6,24,1804.1,24,1767.2,1958.3,2022-10,21,0.21
27,Emma Navarro,25.1,1874.9,46,1767.9,26,1798.6,21,1769.3,2002.7,2024-08,26,0.04
28,Sonay Kartal,24.3,1874.0,22,1832.6,127,1602.3,31,1731.6,1879.9,2026-03,122,-1.47
29,Karolina Pliskova,34.2,1872.0,27,1812.1,21,1807.1,25,1758.0,2089.1,2020-01,64,-0.79
30,Jelena Ostapenko,29.0,1863.3,32,1798.5,20,1812.4,20,1774.4,2029.5,2017-10,29,0.03
31,Ekaterina Alexandrova,31.6,1847.4,30,1801.3,45,1738.2,28,1742.1,1977.2,2020-02,19,0.49
32,Katerina Siniakova,30.1,1845.1,28,1806.4,57,1721.6,32,1724.9,1950.5,2017-01,34,-0.06
33,Hailey Baptiste,24.5,1843.9,41,1780.5,32,1770.5,71,1631.6,1860.4,2026-05,33,0
34,Qinwen Zheng,23.7,1837.7,26,1824.6,25,1804.1,86,1607.3,2098.3,2024-11,135,-1.38
35,Elena Gabriela Ruse,28.6,1837.3,55,1748.1,46,1737.9,26,1742.9,1855.8,2026-06,72,-0.72
36,Veronika Kudermetova,28.4,1836.4,39,1785.9,33,1764.7,37,1709.5,1981.1,2023-05,125,-1.24
37,Emma Raducanu,23.5,1834.0,44,1772.9,52,1726.8,27,1742.6,1998.0,2021-08,38,-0.03
38,Ashlyn Krueger,22.1,1831.5,59,1743.7,66,1698.2,23,1767.8,1896.7,2025-02,66,-0.55
39,Magda Linette,34.3,1827.8,42,1777.9,34,1763.5,59,1657.8,1866.6,2023-02,51,-0.27
40,Caty Mcnally,24.6,1826.7,64,1735.9,38,1751.4,34,1715.4,1836.8,2026-06,57,-0.35
41,Jaqueline Cristian,28.0,1824.5,33,1798.4,42,1741.4,144,1521.6,1855.2,2026-05,36,0.13
42,Taylor Townsend,30.2,1821.9,35,1794.2,49,1729.3,82,1613.8,1850.4,2026-05,80,-0.64
43,Maria Sakkari,30.9,1820.4,31,1800.4,35,1758.4,61,1654.5,2067.5,2022-03,37,0.15
44,Olga Danilovic,25.0,1819.1,61,1739.8,28,1796.1,66,1639.9,1883.7,2025-05,268,-1.81
45,Mccartney Kessler,26.9,1818.4,36,1789.9,85,1678.6,44,1694.2,1933.3,2025-03,46,-0.02
46,Katie Boulter,29.9,1814.2,38,1786.5,79,1687.0,38,1708.2,1894.3,2024-03,67,-0.38
47,Maja Chwalinska,24.7,1813.6,72,1725.7,29,1791.0,104,1577.3,1833.2,2026-05,22,0.76
48,Anhelina Kalinina,29.3,1812.7,63,1735.9,27,1798.6,67,1636.0,1890.8,2022-06,59,-0.21
49,Nikola Bartunkova,20.3,1811.3,67,1731.1,67,1697.5,40,1705.6,1825.1,2026-06,43,0.13
50,Varvara Gracheva,25.6,1809.9,49,1763.2,64,1701.4,65,1641.3,1840.6,2026-02,95,-0.64
... 
